,Machine.Number.x,AnalysisUnit,Match_ID,Class,Order,Family,Genus,Species,IDConfidence,MNI,NISP,Context,Modification,Type,Original.Bib,Taxon.Bib,Comment.x,FaunalSeq,LocSeq.x,Machine.Number.y,Analysis.unit,SiteName,AlternateName,State.prov,County,Site.Number,CodedBy,DateCoded,CodingUpdate,Comment.y,Precision,Quadrangle,QuadSize,Township,Latitude,Longitude,Altitude,Repository,Bibnum,LATDD,LONGDD,RecoveryMethod,DepositionalSystem,DepositionalEnvironment,Facies,Mixing,Group,Formation,Member,Arch.Period,Arch.Epoch,Arch.Age,Arch.Land.Mammal.Age,Arch.Bibnum,Period,Epoch,Age,NALMA,Oxgen.isotope,Magnetochron,RepennMicrotineBioStrat,BellMicirotineBioStrata,MinimumAge,MinimumAge(Years),,MinimunAgeMethod,MaximumAge,MaximunAgeMethod,Millennium,SiteType,Agent,Cultural.Age,Bone.modification,LocSeq.y,DB
175,"1,188.00",Assemblage,1188_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,1,NA, ,NA,NA,NA, ,0,0,1188,Assemblage,Antelope House,,AZ,APACHE,,MKR,7/17/91 0:00,1/31/92 0:00,,QA,CHINLE,7.5,NA,36.7,-109.3,,,NA,36.11666667,-109.5,SASC,AN,CU,OD,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,1E-04,100,Present,BIOS,0.001004,DEND,NA,CULT,HH,,,0,f
208,"1,428.00",Unit 6,1428_Unit 6,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,2,NA, ,NA,NA,NA, ,0,0,1428,Unit 6,O'Malley Shelter,,NV,LINCOLN,,RFS,12/6/91 0:00,,,E,ISLEN,7.5,NA,37.31,-114.16,,,NA,37.51666667,-114.2666667,CRSE,CV,RS,AL,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,1E-04,100,Present,CULT,8E-04,CULT,NA,CULT,"NA, HH",Fremont; Shoshone,"DE, BT",0,f
209,"1,429.00",Stratum 1,1429_Stratum 1,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,1,NA, ,NA,NA,NA, ,0,0,1429,Stratum 1,Conaway Shelter,,NV,LINCOLN,26LN126,RFS,12/6/91 0:00,,,E,CALIENTE,7.5,NA,37.32,-114.36,,,NA,37.53333333,-114.6,CRSE,CV,RS,OD,P,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,1E-04,100,Present,CULT,0.00105,14CG,NA,CULT,"NA, HH",Shoshonean,DE,0,f
211,"1,436.00",Assemblage,1436_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,1,NA, ,NA,NA,NA, ,0,0,1436,Assemblage,Applegate River Site 35JA42,,OR,JACKSON,35JA42,RFS,12/10/91 0:00,1/28/92 0:00,,QP,SQUAW LAKES,7.5,NA,42,-123,533,OREGON ST UNIV,NA,42,-123,MESE,FL,CM,TE,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,1E-04,100,Present,CULT,2E-04,CULT,NA,CULT,"NA, HH",Protohistoric,"HB, BT, DE",0,f
214,"1,537.00",Occupation,1537_Occupation,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,1,NA,HB,NA,NA,NA, ,0,0,1537,Occupation,Blasingame,,CA,FRESNO,FRE 1671,RFS,4/27/92 0:00,,Fauna given for entire site summed,QA,ACADEMY,7.5,NA,36.52,-119.3,180,SIERRA MONO MUS,NA,36.86666667,-119.5,MESE,AN,CU,OD,P,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,1E-04,100,Present,CULT,0.0035,14CG,NA,CULT,"HH, NA",,"BN, HB",0,f
240,"1,695.00",Assemblage,1695_Assemblage,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,NA,NA,NA, ,NA,NA,NA, ,0,0,1695,Assemblage,Kings Bay Plantation,,GA,CAMDEN,9CAM172,MKR,7/31/92 0:00,,,QA,HARRIETTS BLUFF,7.5,NA,30.45,-81.3,,FSM,NA,30.75,-81.5,FINE,AN,CU,OD,N,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIST,HOLO,1,BRUN,,NA,1E-04,100,Present,CULT,0.00015,CULT,NA,CULT,HH,Historic,,0,f
244,"1,733.00",House Pit 1,1733_House Pit 1,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,1,NA, ,NA,NA,NA, ,0,0,1733,House Pit 1,Border Village,,OR,KLAMATH,35KL16,MKR,8/13/92 0:00,,,QA,PARKER MOUNTAIN,7.5,NA,42,-122.15,,UOMNH,NA,42,-122.25,SASC,AN,CU,OD,P,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,1E-04,100,Present,CULT,0.002,CULT,NA,CULT,HH,Prehistoric,"BT, HB",0,f
246,"1,734.00",Midden Stratum,1734_Midden Stratum,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,3,10,NA, ,NA,NA,NA, ,0,0,1734,Midden Stratum,Klamath Shoal Midden,Salt Cave Locality Site 7,OR,KLAMATH,35KL21,MKR,8/13/92 0:00,,,QA,MULE HILL,7.5,NA,42,-122.07,,UOMNH,NA,42,-122.1166667,SASC,AE,DN,TE,P,,,,NA,NA,HOLO,NA,NA,QUAT,HOLO,LMHO,HOLO,1,BRUN,,NA,1E-04,100,Present,CULT,0.006,14CG,NA,CULT,"HH, NA, DP",Archaic,BT,0,f
247,"1,735.00",House Pit 11,1735_House Pit 11,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,1,NA, ,NA,NA,NA, ,0,0,1735,House Pit 11,Big Boulder Village,Salt Cave Locality Site 4,OR,KLAMATH,35KL18,MKR,8/13/92 0:00,,,QA,MULE HILL,7.5,NA,42,-122.07,,UOMNH,NA,42,-122.1166667,SASC,AN,CU,OD,P,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,1E-04,100,Present,CULT,0.002,CULT,NA,CULT,HH,,"BT, HB",0,f
248,"1,735.00",House Pit 3,1735_House Pit 3,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus, ,1,1,NA, ,NA,NA,NA, ,0,0,1735,House Pit 3,Big Boulder Village,Salt Cave Locality Site 4,OR,KLAMATH,35KL18,MKR,8/13/92 0:00,,,QA,MULE HILL,7.5,NA,42,-122.07,,UOMNH,NA,42,-122.1166667,SASC,AN,CU,OD,P,,,,NA,NA,LHOL,NA,NA,QUAT,HOLO,HIHO,HOLO,1,BRUN,,NA,1E-04,100,Present,CULT,0.002,CULT,NA,CULT,HH,,"BT, HB",0,f
