spec,longitude,latitude
Urocyon cinereoargenteus,-122.4450339739,43.7360061037
Urocyon cinereoargenteus,-118.3673072096,35.637906967
Urocyon cinereoargenteus,-71.383404636,41.7533670599
Urocyon cinereoargenteus,-90.2585933837,41.6058819017
Urocyon cinereoargenteus,-98.20278935,32.52799615
Urocyon cinereoargenteus,-95.9022666667,33.8130194444
Urocyon cinereoargenteus,-111.7989883333,33.7413666667
Urocyon cinereoargenteus,-89.25753,20.7344616667
Urocyon cinereoargenteus,-95.8742277604,31.9904962834
Urocyon cinereoargenteus,-122.225022207,44.4753647294
Urocyon cinereoargenteus,-95.9944546002,28.7438258869
Urocyon cinereoargenteus,-75.0795086101,38.5748942482
Urocyon cinereoargenteus,-86.9642987343,45.2210599361
Urocyon cinereoargenteus,-110.615905,32.0217083333
Urocyon cinereoargenteus,-111.5860533333,36.866445
Urocyon cinereoargenteus,-108.4974945566,32.9706962072
Urocyon cinereoargenteus,-85.7009874694,10.5407032583
Urocyon cinereoargenteus,-82.5635269134,35.7923403452
Urocyon cinereoargenteus,-87.0738853142,20.6295445317
Urocyon cinereoargenteus,-123.309086,44.594969
Urocyon cinereoargenteus,-105.1645097818,22.0527675406
Urocyon cinereoargenteus,-122.8577048841,38.0435029145
Urocyon cinereoargenteus,-121.4307783333,38.3920783333
Urocyon cinereoargenteus,-118.7128485128,37.5125007665
Urocyon cinereoargenteus,-118.9181540161,34.3991612272
Urocyon cinereoargenteus,-75.917795,35.8642616667
Urocyon cinereoargenteus,-87.3297736115,20.4027083385
Urocyon cinereoargenteus,-88.8293341175,14.0392518312
Urocyon cinereoargenteus,-91.37348,38.0607388333
Urocyon cinereoargenteus,-101.3042366394,27.9153101218
Urocyon cinereoargenteus,-103.7691345364,28.0441546706
Urocyon cinereoargenteus,-100.2288399333,31.4293834993
Urocyon cinereoargenteus,-81.215423584,38.1518135071
Urocyon cinereoargenteus,-97.775671,22.001833
Urocyon cinereoargenteus,-111.7551629618,34.6488586095
Urocyon cinereoargenteus,-120.7854641412,35.1071367985
Urocyon cinereoargenteus,-99.3385079052,19.766939694
Urocyon cinereoargenteus,-98.5777778551,20.6313101477
Urocyon cinereoargenteus,-84.5120089129,34.6499497285
Urocyon cinereoargenteus,-91.2075573257,18.0034331568
Urocyon cinereoargenteus,-72.5620064208,6.4984500102
Urocyon cinereoargenteus,-99.1242293268,18.7291489147
Urocyon cinereoargenteus,-96.4008983597,29.9751714673
Urocyon cinereoargenteus,-71.2337314535,42.2054610139
Urocyon cinereoargenteus,-93.7236543289,32.2947659153
Urocyon cinereoargenteus,-88.0380576168,36.9011533598
Urocyon cinereoargenteus,-101.6824716308,33.5353261047
Urocyon cinereoargenteus,-122.1149392068,37.4589166139
Urocyon cinereoargenteus,-115.2506783333,35.9751083333
Urocyon cinereoargenteus,-122.5116248362,38.5796158715
Urocyon cinereoargenteus,-82.115066573,37.9658972136
Urocyon cinereoargenteus,-120.493009661,35.3261070154
Urocyon cinereoargenteus,-79.8366116,37.8139404
Urocyon cinereoargenteus,-79.5866666667,39.6825
Urocyon cinereoargenteus,-120.9846324141,39.3014295912
Urocyon cinereoargenteus,-105.3056996,39.5202516
Urocyon cinereoargenteus,-105.8332133333,38.415395
Urocyon cinereoargenteus,-99.3830576,24.7100486
Urocyon cinereoargenteus,-118.6135932864,36.1420508752
Urocyon cinereoargenteus,-108.347663345,29.2611154649
Urocyon cinereoargenteus,-103.5656408966,25.4940869692
Urocyon cinereoargenteus,-94.7928473353,16.6916058356
Urocyon cinereoargenteus,-115.6197898832,36.2528339947
Urocyon cinereoargenteus,-104.4080378,35.6989298
Urocyon cinereoargenteus,-96.8056152098,18.9033138985
Urocyon cinereoargenteus,-113.5845383305,37.0082701641
Urocyon cinereoargenteus,-94.9914333333,44.552145
Urocyon cinereoargenteus,-98.8572692871,30.4807243347
Urocyon cinereoargenteus,-85.0466546569,33.4814575774
Urocyon cinereoargenteus,-100.5164189722,19.6100269722
